Datum,Novi Sad Rumenacka,Novi Sad Liman,Beocin Centar,Sremska Mitrovica,Beograd Stari grad,Beograd Novi Beograd,Beograd Mostar,Beograd Vracar,Beograd Zeleno brdo,Sabac,Kostolac,Smederevo Centar,Obrenovac Centar,Smederevo Carina,Valjevo,Bor Institut RIM,Kragujevac,Kosjeric,Popovac,Zajecar,Cacak,Paracin,Uzice,Kraljevo,Krusevac,Kamenicki Vis EMEP,Nis O.s. Sveti Sava,Nis IZJZ Nis,Novi Pazar,Vranje,Vrsac
2020-03-20,48.09,15.83,22.63,39.26,42.93,43.29,40.61,46.77,24.54,40.92,21.57,40.02,65.75,22.44,24.58,50.83,19.05,,50.56,40.13,41.27,24.41,42.42,23.62,25,,22.35,25.19,23.84,30.23,21.38
2020-03-21,29.92,9.36,18.16,17.87,22.13,11.95,23.86,27.98,23.15,14.91,9.48,20.26,42.39,12.45,20.49,41.59,16.96,29.12,50.61,18.82,37.92,15.1,27.16,17.93,16.04,,18.77,16.84,21.04,20.79,11.52
2020-03-22,6.15,5.64,8.19,6.99,4.27,2.93,3.54,10.06,12.07,6.77,2.7,8.51,23.77,6.99,8.27,27.05,8.34,21.05,33.91,8.31,35.8,5.06,10.87,7.2,5.11,,5.54,6.64,8.44,6.1,3.86
2020-03-23,13.1,5.53,6.71,7.9,4.96,4.52,6.15,11.07,10,7.36,3.66,12.6,27.22,6.99,13.46,22.03,9.55,14.99,16.74,10.15,19.73,6.2,16.32,5.82,3.7,,6.76,11.33,9.52,9.17,5.14
2020-03-24,7.04,3.22,8.03,10.01,7.13,3.57,8.46,10.68,9.41,6.55,3.77,17.2,12.33,6.31,9.59,32.43,12.21,28.88,22.54,8.95,30.49,4.51,11.78,8.55,6.78,,5.28,9.4,8.38,13.49,8.07
2020-03-25,7.53,3.21,9.95,13.07,7.23,3.6,8.93,8.94,8.34,10.79,4.19,23.62,15.39,6.74,13.42,29.48,10.99,31.55,16.91,10.7,35.34,4.76,13.01,9.76,9.03,,3.29,9.57,11.07,16.77,10.58
2020-03-26,6.52,3.78,9.44,12.86,7.9,5.96,8.27,9.91,9.77,11.01,4.7,21.35,18.62,7.01,6.41,28.06,8.01,30.35,20.88,11.86,29.14,5.45,15.76,9.67,12.65,,3.12,10.14,11.15,18.94,9.43
2020-03-27,13.18,4.61,11.03,15.51,10.86,9.27,16.02,12.88,12.39,18.39,7.57,25.39,18.22,9.05,14.08,31.26,9.58,29.76,37.63,17.58,21.4,6.79,18.64,7.95,11.67,,4.27,10.81,12.29,12.97,11.55
2020-03-28,21.98,8.16,15.06,20.98,17.9,13.78,22.3,25.29,18.23,17.92,11.01,20.78,38.91,14.79,12.32,37.28,9.93,32.08,36.21,15.7,29.04,15.2,19.45,11.07,14.23,,11.21,12.47,14.7,11.96,12
2020-03-29,10.16,7.69,20.37,13.16,10.74,6.44,19.75,20.58,21.04,11.83,9.88,19.09,27.45,10.37,15.62,43.67,10.06,30.81,42.14,12.99,33.44,12.41,19.01,11.55,11.22,,10.93,11.18,16.98,8.95,7.97
2020-03-30,12.79,6.28,17.23,9.39,8.63,6.09,13.52,15.8,17.75,8.09,6.44,16.38,25.46,9.52,16.92,27.29,10.75,25.88,34.63,13.38,31.83,11.16,19.97,10.89,10.96,,11.35,12.57,11.09,11.56,8.8
2020-03-31,11,10.53,8.94,10.56,6.34,6.04,9.13,12.47,13.47,10.27,4.27,15.11,28.03,8.31,14.78,29.36,10.31,27.11,22.6,10.79,27.73,7.27,17.46,8.9,5.16,,6.7,10.05,10.62,8.5,6
2020-04-01,10.01,5.2,10.54,11.72,9.21,4.43,11.58,11.25,12.44,12.38,4.77,23.17,17.41,7.9,12.52,28.46,10.02,30.7,27.35,7.51,38.7,8.42,16.56,8.18,6.65,,4.25,9.69,11.23,10.27,7.22
2020-04-02,16.4,5.29,12.18,17.62,10.63,7.72,17.65,13.9,14.03,19.24,5.47,23.58,25.02,8.69,14.56,36.24,8.84,32.65,24.56,12.21,31.09,8.03,18,10.51,9.92,,8.7,10.31,12.29,10.19,6.37
2020-04-03,24.52,11.15,16.8,19.85,15.57,9.73,21.27,23.06,21.89,19.67,7.47,24.55,38.53,11.14,15.01,46.15,10.37,33.94,38.76,18.1,29.34,13.89,23.54,13.19,14.69,,12.33,13.58,17.7,14.79,8.73
2020-04-04,14.03,10.22,16.03,13.34,11.43,8.28,16.27,22.43,21.04,11.02,10.48,17.95,29.74,12.24,13.1,42.85,9.57,31.6,41.88,12.83,35.16,10.87,20.31,12.43,8.28,,8.7,11.46,14.44,7.74,10.99
2020-04-05,7.77,4.28,14.66,10.53,6.84,3.14,7.74,14.54,16.41,11.51,5.99,11.99,15.45,7.47,6.79,30.96,7.93,26.31,35.53,8.13,32.63,6.51,8.94,7.9,8.07,,5.04,6.22,7.97,6.53,5.54
2020-04-06,5.68,2.62,14.18,12.79,7.66,4.39,13.38,11.96,12.55,12.08,6.12,23.01,17.02,6.17,12.86,26.46,9.08,27.03,31.45,17.56,29.65,6.4,17.12,9.94,10.16,,10.08,17.37,12.18,7.2,5.14
2020-04-07,8.21,3.6,13.97,14.61,7.64,4.89,14.47,13.34,13.24,15.12,5.74,22.91,25.74,6.66,14.38,38.76,9.75,26.97,28.91,14.8,24.36,4.85,17.87,8.27,6.77,,3.9,11.84,12.23,8.08,5.82
2020-04-08,25.64,8.09,19.51,19.86,17.82,14.43,23.5,24.49,16.32,19.51,12.29,24.62,32.89,15.1,15.3,48.87,10.65,26.92,26.82,26.56,27.65,9.94,23.28,11.6,11.8,,8.17,13.56,12.86,9.81,11.12
2020-04-09,32.16,11.24,21.38,30.54,21.16,11.74,25.63,27.86,23.6,22.08,12.45,24.7,43.5,13.95,16.28,45.51,12.24,,44.55,27.96,39.51,13.18,28.31,13.58,13.41,,10.65,15.38,14.96,10.25,9.27
